02 D.P. - ITAPEVA		6574
03º D.P. DIADEMA	08º D.P. S.BERNARDO DO CAMPO	3569
PLANTÃO DE SOROCABA - Z. NORTE	01º D.P. SOROCABA	111
98º D.P. JARDIM MIRIAM	41º D.P. VILA RICA	544
DELEGACIA ELETRONICA	02º D.P. S.JOSE DOS CAMPOS	889
10º D.P. PENHA DE FRANCA	59º D.P. JARDIM DOS IPES	1679
65º D.P. ARTUR ALVIM	32º D.P. ITAQUERA	4322
04º D.P. GUARULHOS	DEL.POL.ARUJA	419
DEL.POL.MOGI-MIRIM	01º D.P. MOGI-GUAÇÚ	5741
DEL.POL.SALES	DEL.POL.SALES	5550
101º D.P. JDIM IMBUIAS	04º D.P. CONSOLAÇÃO	5722
DEL.POL.PLANTÃO VALINHOS	01º D.P. CAMPINAS	5725
24º D.P. PONTE RASA	16º D.P. VILA CLEMENTINO	4711
CENTRAL POL.JUD.RIB. PRETO	02º D.P. CAMPINAS	3913
DEL.POL.URUPES	DEL.POL.URUPES	1235
33º D.P. PIRITUBA	34º D.P. MORUMBI	4481
DEL.POL.SERRA AZUL	DEL.POL.SERRANA	3374
DEL.POL.S.VICENTE	DEL.POL.PRAIA GRANDE	4808
78º D.P. JARDINS	06º D.P. CAMBUCI	1121
78º D.P. JARDINS	78º D.P. JARDINS	292
DELEGACIA ELETRONICA	02º D.P. ITANHAEM	1015
19º D.P. VILA MARIA	49º D.P. SAO MATEUS	2343
DEL.SEC.AMERICANA PLANTÃO	02º D.P. AMERICANA	271
53º D.P. PARQUE DO CARMO	08º D.P. BRAS	5278
DEL.POL.ITAQUAQUECETUBA	66º D.P. JDIM ARICANDUVA	4994
DELEGACIA ELETRONICA	DEL.POL.MORUNGABA	3285
DELEGACIA ELETRONICA	01º D.P. CAMPOS DO JORDÃO	4936
01º D.P. GUARULHOS	01º D.P. SE	3670
01º D.P. JUNDIAI	01º D.P. JUNDIAI	1244
49º D.P. SAO MATEUS	08º D.P. BRAS	4839
DEL.POL.PLANTÃO VOTORANTIM	11º D.P. SOROCABA	2879
53º D.P. PARQUE DO CARMO	44º D.P. GUAIANAZES	3117
11º D.P. SANTO AMARO	35º D.P. JABAQUARA	1766
POLICIA MILITAR	08º D.P. GUARULHOS	5362
DEL. POL. NOVA GRANADA		6234
01º D.P. TABOÃO DA SERRA	34º D.P. MORUMBI	1233
DELEGACIA ELETRONICA	18º D.P. ALTO DA MOOCA	591
DEL.SEC.VOTUPORANGA PLANTÃO	01º D.P. VOTUPORANGA	1220
03º D.P. GUARULHOS	DEL.POL.BOITUVA	1136
POLICIA MILITAR	DEL.POL.ITAPECERICA DA SERRA	972
DEL.POL.SALTO	01º D.P. INDAIATUBA	2221
02 D.P. - ARACATUBA		6045
DELEGACIA ELETRONICA	49º D.P. SAO MATEUS	160
64º D.P. CID.AE CARVALHO	65º D.P. ARTUR ALVIM	2768
DEL. POL. AGUAI		6520
05º D.P. CAMPINAS	DEL.POL.VALINHOS	2760
DEL.POL.MONGAGUA	DEL.POL.MONGAGUA	2241
01º D.P. VOTUPORANGA	01º D.P. VOTUPORANGA	49
02º D.P. DIADEMA	04º D.P. DIADEMA	2504
DEL.POL.GUARANTÃ	DEL.POL.GUARANTÃ	5387
DEL.SEC.ITANHAEM PLANTÃO	01º D.P. ITAPETININGA	3760
48º D.P. CIDADE DUTRA	27º D.P. IBIRAPUERA	1917
22º D.P. SAO MIGUEL PTA	22º D.P. SAO MIGUEL PTA	962
DEL.DEF.MUL. EMBU DAS ARTES	DEL.POL.EMBU DAS ARTES	1972
DEL.POL.CAMPOS DO JORDÃO	01º D.P. GUARULHOS	2426
03º D.P. S.BERNARDO DO CAMPO	02º D.P. DIADEMA	1702
DEL.SEC.BARRETOS PLANTÃO	02º D.P. BARRETOS	1347
32º D.P. ITAQUERA	65º D.P. ARTUR ALVIM	3169
04º D.P. GUARULHOS	62º D.P. ERMELINO MATARAZZO	1732
16º D.P. VILA CLEMENTINO	26º D.P. SACOMA	2281
01º D.P. CUBATÃO	03º D.P. SÃO VICENTE	2654
DEL.POL.ARUJA	01º D.P. SE	3289
09º D.P. OSASCO	09º D.P. OSASCO	1305
CENTRAL POL.JUD.RIB. PRETO	07º D.P. RIBEIRAO PRETO	2431
92º D.P. P. STO ANTONIO	04º D.P. DIADEMA	260
DEL.POL.PLANTÃO HORTOLÂNDIA	DEL.POL.MONTE MOR	2375
