RUA FRANCISCO ALVES	10	SANTA MARIA	S.CAETANO DO SUL	SP	-23,6365630392	-46,5574712559	Via pública	38190
RUA DESEMBARGADOR AGUIAR VALIM	4	ITAIM BIBI	S.PAULO	SP	-23,5909359127	-46,6726171583	Via pública	25202
RUA JURANDIR GUINTER	0	CIDADE NOVA I	JUNDIAI	SP	-23,184376514	-46,874506861	Via pública	25187
AVENIDA ZAKI NARCHI	200	SANTANA	S.PAULO	SP	-23,5115907222	-46,6241984585	Via pública	34350
AV CANGAÍBA	502	CANGAIBA	S.PAULO	SP	-23,5177341929	-46,5461036786	Outros	30417
RUA FRANCISCO ASCANIO	250	ITAIM PAULISTA	S.PAULO	SP	-23,506604739	-46,3805244942	Via pública	48
ESTRADA DO SACRAMENTO	0		GUARULHOS	SP	-23,463024644	-46,414315744	Outros	8284
RUA ALFREDO RUÍZ	3	VILA GUAGGIO	BAURU	SP	-22,3243556603	-49,0791257859	Hospedagem	26902
RUA SERRA DA MANTIQUEIRA	425	CENTRO	DIADEMA	SP	-23,676387906	-46,626727909	Via pública	10491
RUA DO GASOMETRO	135	BRAS	S.PAULO	SP	-23,5446336068	-46,6250172325	Via pública	13136
AVENIDA GOIÁS	1288		S.CAETANO DO SUL	SP	-23,6164975396	-46,554392587	Outros	36734
RUA CINCO	499	ANICETO CARLOS NOGUEIRA	GUAIRA	SP	-20,3106736031	-48,3172329223	Via pública	19338
RUA CANINDE	100	PARI	S.PAULO	SP	-23,5336719092	-46,6241133228	Via pública	24946
AVENIDA ANTONIA PIZZINATO STURION	1155	MORUMBI	PIRACICABA	SP	-22,727373828	-47,622776759	Via pública	27318
RUA GUAXINDUVA	147	IPIRANGA	S.PAULO	SP	-23,5720741161	-46,611455214	Via pública	22570
RUA DOS JACARANDAS MIMOSOS	331	TUCURUVI	S.PAULO	SP	-23,4636218529	-46,6033654213	Via pública	29466
RUA HENRIQUE DUARTE DO PÁTEO	253	PARQUE DAS NACOES	LIMEIRA	SP	-22,586442933	-47,407739777	Comércio e serviços	32271
Rua Leais Paulistanos, 591	591	Ipiranga	S.PAULO	SP	-23,573271328	-46,6054125194	Outros	31261
AVENIDA CELSO GARCIA	238	BRAS	S.PAULO	SP	-23,5396799785	-46,6100591382	Comércio e serviços	18660
RUA CORONEL DERALDO JORDAO	0	JARDIM COLINA	S.PAULO	SP	-23,599806968	-46,620252969	Outros	13201
RUA CAPITAO JOSE MACHADO	347	LIMAO	S.PAULO	SP	-23,484214487	-46,679475212	Outros	167
RUA FORTE DO TRIUNFO	200	SAO MATEUS	S.PAULO	SP	-23,6003034003	-46,4632462191	Outros	35882
AVENIDA FAZENDA SANTA GENEBRA	1	VILA STA ISABEL	CAMPINAS	SP	-22,81316574	-47,093678919	Via pública	11704
AVENIDA GOVERNADOR MARIO COVAS	100	JARDIM SAO MARCOS	SOROCABA	SP	-23,5076848451	-47,5050313251	Via pública	3284
AVENIDA PRESIDENTE CASTELO BRANCO	33		S.PAULO	SP	-23,520031016	-46,625634836	Outros	1778
ALAMEDA SANTO AMARO	100	SANTO AMARO	S.PAULO	SP	-23,6553360435	-46,7067374907	Via pública	36596
RUA NOEL ROSA	1440	JARDIM SONIA MARIA	MAUA	SP	-23,6256238017	-46,4795520685	Via pública	16338
RUA JOSE AUGUSTO PENTEADO	70	PINHEIROS	S.PAULO	SP	-23,5459588767	-46,6897707523	Outros	19239
AVENIDA SAPOPEMBA	15000	SAO RAFAEL	S.PAULO	SP	-23,6256341503	-46,4626251478	Via pública	19977
RUA VÍTOR REBOUÇAS	60	JD MACEDO	RIBEIRAO PRETO	SP	-21,1847663907	-47,7966056482	Via pública	10097
RUA AVELINO SILVEIRA	0	JD. PAULISTA	UCHOA	SP	-20,96063523	-49,1764058446	Via pública	30907
RUA JOSE RODRIGUES MACIEL	32	JD SÃO LUIS	S.PAULO	SP	-23,6634829259	-46,7458381577	Comércio e serviços	27235
AVENIDA DA BARREIRA GRANDE	2839	SAPOPEMBA	S.PAULO	SP	-23,5844670813	-46,5279988278	Via pública	4805
PRAÇA FRANKLIN ROOSEVELT	306		S.PAULO	SP	-23,547355368	-46,645952659	Outros	5527
